id_municipio,ano,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss
1303106,2020,293962698,12792909,281169789,34134868,16666783,49761115,180607023
1303205,2020,174377088,736807,167009017,11050836,9786071,41501528,104670582
1303304,2020,219609753,7175722,212434031,49537886,11044861,35489772,116361513
1303403,2020,1320759998,80677816,1240082182,297570644,78227263,335288833,528995443
1303502,2020,175118169,4743826,170374343,33664712,6114872,28124611,102470147
1303536,2020,829589639,31042568,798547071,67209767,328444424,155194698,247698183
1303569,2020,374582051,29052678,345529373,81268923,34980086,77803718,151476646
1303601,2020,157255024,3008662,154246362,14934076,4594711,19489538,115228036
1303700,2020,208667576,9194801,199472775,35304177,9167302,38883299,116117998
1303809,2020,376614539,22648476,353966062,15902898,19872951,95101288,223088926
1303908,2020,302142277,7161387,29498089,32183187,12131798,46513419,204152487
1303957,2020,127921327,3820612,124100716,22792803,5904541,22203531,73199841
1304005,2020,133809367,14263332,119546035,40645484,4966435,1768453,56249586
1304062,2020,653293987,5456577,598728218,2148536,40299947,19761914,33932377
1304104,2020,218777723,5053173,21372455,59650608,9711518,35468899,108893525
1304203,2020,94154854,50399258,891149282,188505142,157942353,234909193,309792595
1304237,2020,158650172,3273547,155376625,1769978,6007351,25351811,106317683
1304260,2020,205147903,619221,198955693,85676371,8156749,30934184,7418839
1304302,2020,306841383,6989081,299852302,164044501,8884749,37187459,89735593
1304401,2020,195780673,6491634,189289039,29820277,9519152,35453199,114496411
1400027,2020,198055425,2850706,195204719,48199331,6053265,15091103,12586102
1400050,2020,409678146,5526363,404151783,175261051,20279422,48726438,159884873
1400100,2020,11826207401,1258185869,10568021532,121500858,1456847113,4640743089,4348930472
1400159,2020,417472753,7573465,409899288,195774752,23444989,51784606,138894941
1400175,2020,325141674,2356257,301579104,5053832,22884063,34404218,193752503
1400209,2020,410468353,17236458,393231895,51125465,31682355,74930306,235493769
1400233,2020,227657063,5923284,221733779,70294671,10241231,34221265,106976612
1400282,2020,182227332,3971551,17825578,26075476,6755165,21059509,12436563
1400308,2020,348643403,19004859,329638544,53407438,24983278,65544164,185703663
1400407,2020,194805642,2510655,192294987,43890926,7262704,20170786,120970571
1400456,2020,29048315,15202426,275280724,8982108,15612611,61867492,188818513
1400472,2020,6368342,54275224,582558976,77889089,41834477,134833345,328002066
1400506,2020,262132677,72591854,189540823,34781273,26348372,40950608,8746057
1400605,2020,165155407,10153639,155001768,35842636,9894773,25204485,84059874
1400704,2020,12931307,1467613,127845456,7344068,2387653,9223547,108890188
